issue_key,issue_id,team_name,project_key,issue_type,quarter_label,cycle_time_start_status,cycle_time_start_utc,cycle_time_end_status,cycle_time_end_utc,resolution_at_cycle_time_end,cycle_time_days,cycle_time_weeks,completed_in_done_category_flag,completed_with_allowed_resolution_flag,data_quality_note,last_refresh_utc
OV-82813,335472,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-07T15:32:25.874Z,Closed,2026-05-07T17:08:33.337Z,Done,0.07,0.01,yes,yes,,2026-06-10T00:04:52.036Z
OV-80979,330844,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-07T15:42:01.274Z,Closed,2026-05-08T15:44:10.538Z,Done,1,0.14,yes,yes,,2026-06-10T00:04:52.036Z
OV-80980,330845,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-07T15:42:17.562Z,Closed,2026-05-08T15:44:21.529Z,Done,1,0.14,yes,yes,,2026-06-10T00:04:52.036Z
OV-82999,336494,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-08T14:06:19.511Z,Closed,2026-05-11T15:35:29.726Z,Done,3.06,0.44,yes,yes,,2026-06-10T00:04:52.036Z
OV-83264,337754,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-14T15:49:12.984Z,Closed,2026-05-14T16:38:03.907Z,Done,0.03,0,yes,yes,,2026-06-10T00:04:52.036Z
OV-83263,337752,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-11T16:01:50.509Z,Closed,2026-05-14T19:12:04.844Z,Done,3.13,0.45,yes,yes,,2026-06-10T00:04:52.036Z
OV-81019,330885,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-14T15:31:02.208Z,Closed,2026-05-14T20:15:01.829Z,Done,0.2,0.03,yes,yes,,2026-06-10T00:04:52.036Z
OV-81018,330884,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-07T15:38:29.746Z,Closed,2026-05-15T15:32:17.131Z,Done,8,1.14,yes,yes,,2026-06-10T00:04:52.036Z
OV-80983,330848,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-13T15:52:10.733Z,Closed,2026-05-15T15:33:49.007Z,Done,1.99,0.28,yes,yes,,2026-06-10T00:04:52.036Z
OV-81023,330889,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-15T15:32:53.891Z,Closed,2026-05-15T16:03:12.933Z,Done,0.02,0,yes,yes,,2026-06-10T00:04:52.036Z
OV-82868,335817,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-15T15:56:29.050Z,Closed,2026-05-18T18:22:47.399Z,Done,3.1,0.44,yes,yes,,2026-06-10T00:04:52.036Z
OV-83258,337742,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-11T16:01:07.994Z,Closed,2026-05-18T22:40:13.879Z,Done,7.28,1.04,yes,yes,,2026-06-10T00:04:52.036Z
OV-82964,336331,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-07T15:41:27.702Z,Closed,2026-05-19T13:25:34.956Z,Done,11.91,1.7,yes,yes,,2026-06-10T00:04:52.036Z
OV-82872,335821,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-18T18:25:12.146Z,Closed,2026-05-19T13:29:11.866Z,Done,0.79,0.11,yes,yes,,2026-06-10T00:04:52.036Z
OV-83267,337760,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-14T19:12:30.576Z,Closed,2026-05-19T13:58:22.739Z,Done,4.78,0.68,yes,yes,,2026-06-10T00:04:52.036Z
OV-81145,331337,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-21T17:59:58.180Z,Closed,2026-05-19T15:41:14.630Z,Done,27.9,3.99,yes,yes,,2026-06-10T00:04:52.036Z
OV-83227,337457,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-18T20:30:31.901Z,Closed,2026-05-19T19:31:18.757Z,Done,0.96,0.14,yes,yes,,2026-06-10T00:04:52.036Z
OV-83228,337458,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-18T20:30:42.116Z,Closed,2026-05-20T14:08:21.515Z,Done,1.73,0.25,yes,yes,,2026-06-10T00:04:52.036Z
OV-83226,337456,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-14T15:50:29.116Z,Closed,2026-05-20T15:33:15.598Z,Done,5.99,0.86,yes,yes,,2026-06-10T00:04:52.036Z
OV-82985,336464,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-20T13:24:41.098Z,Closed,2026-05-20T16:32:18.211Z,Done,0.13,0.02,yes,yes,,2026-06-10T00:04:52.036Z
OV-82981,336456,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-11T15:34:31.306Z,Closed,2026-05-20T16:32:28.976Z,Done,9.04,1.29,yes,yes,,2026-06-10T00:04:52.036Z
OV-82984,336462,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-20T13:24:38.961Z,Closed,2026-05-20T16:32:50.303Z,Done,0.13,0.02,yes,yes,,2026-06-10T00:04:52.036Z
OV-83231,337462,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-20T15:33:21.593Z,Closed,2026-05-20T16:34:40.478Z,Done,0.04,0.01,yes,yes,,2026-06-10T00:04:52.036Z
OV-81061,330927,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-21T16:05:19.327Z,Closed,2026-05-21T16:09:40.949Z,Done,0,0,yes,yes,,2026-06-10T00:04:52.036Z
